period,AHU-1-EC,AHU-1-SAR,AHU-1-SAT,CHB-1-DF,CHB-1-SP,CHI-1-CP,CHI-1-KWR,CHI-1-LCWSTSP,CHICMP-1-AP,CLDHM,CLDOAFT,CLDOAT,CNDP-1-RFT,CNDP-1-SPD,CT-1-ENT,CT-1-EXT,CT-1-SPD,CW-1-STSP,DHW-1-RT,DHW-1-ST,DHWB-1-RTL,DHWB-2-RTL,DHWT-1-TMP,EVA-1-P,EVA-1-RT,H-1-CO2,H-1-TMP,H-2-CO2,H-2-TMP,HC-1-RT,HC-1-ST,HYD-1-DP,HYD-1-RTT,HYD-1-SPD,HYD-1-ST,HYD-2-SPD,HYDC-1-P,LHB-1-DF,LHB-1-SP,OAT-1,OAT-2,PC-1-P,hour,weekday,CDD,CHI-1-EC,CT-1-EC,CNDP-1-EC,HYD-1-EC,HYD-2-EC
2021-08-01 10:15:00+00:00,100.25,45.27,17.38633333,0,0,59.75853333,0,0,0,89.85,16.53133333,16.36133333,9.981333333,0,19.534,18.74666667,0,0,50.03553333,51.2692,59.3822,53.1938,53.00206667,59.637,9.692,435.3820667,21.93993333,424.1712667,22.2602,9.836666667,9.871333333,7.072133333,11.648,44.00666667,11.26326667,0,25.859,0,0,17.40093333,17.39706667,18.9844,10.06,6.02,0,0,0,0,1,0
2021-08-01 10:30:00+00:00,99.75,45.27,17.36193333,0,0,62.52573333,0,0,0,89.81666667,16.52,16.49,11.21266667,0,19.70466667,18.68933333,0,0,48.1014,53.89126667,32.818,40.328,55.7926,62.30793333,11.07,432.2778,21.9016,425.7994,22.2124,11.20333333,11.23333333,7.101733333,12.6822,44.31333333,12.3548,0,25.95666667,0,0,17.422,17.40486667,19.1148,10.06,5.98,0,0,0,0,1,0
2021-08-01 10:45:00+00:00,99.75,45.33,17.34553333,0,0,86.0498,78.42113333,0,40.51426667,89.15,16.59266667,16.54266667,21.022,53.9,20.40666667,18.95533333,48.5,0,50.80226667,53.29646667,32.818,40.328,54.66186667,57.08366667,8.359333333,432.4080667,21.85246667,424.6034,22.20306667,11.682,9.776,6.906466667,13.43413333,44.46666667,11.46793333,0,25.75526667,0,0,17.42746667,17.41966667,19.02153333,10.06,5.98,0,19.816,8.5,1.25,1,0
2021-08-01 11:00:00+00:00,100.25,45.27,17.31686667,0,0,80.2038,60.9656,0,31.2544,89.15,16.454,16.44733333,18.52666667,42.1,20.36533333,19.32866667,40.78,0,47.6198,52.623,48.198,40.688,53.81893333,55.2152,7.451333333,432.5383333,21.81386667,421.7946,22.18333333,9.676666667,8.122666667,7.1486,11.92533333,44.13333333,9.887,0,25.83833333,0,0,17.552,17.66633333,18.83773333,11.06,5.98,0,18.191,0,3.75,1,0
2021-08-01 11:15:00+00:00,100.25,45.33,17.46953333,0,0,60.177,0,0,0,88.51666667,16.67,16.526,9.928666667,0,19.606,18.97666667,0,0,47.816,51.89106667,48.198,40.328,52.95933333,59.4614,9.644,430.1940667,21.79953333,422.3153333,22.1468,9.764666667,9.819333333,6.936466667,11.57806667,44.10666667,11.19266667,0,25.769,0,0,17.89553333,17.88906667,19.0088,11.06,5.98,0,0,0,0,1,0
2021-08-01 11:30:00+00:00,100.25,45.27,17.51033333,0,0,62.93366667,0,0,0,87.51666667,16.66933333,16.77533333,11.15933333,0,19.912,18.83466667,0,0,47.425,51.9676,36.2694,46.93326667,53.7516,62.18406667,11.048,430.433,21.79206667,421.2822667,22.15286667,11.124,11.17066667,6.98,12.61753333,44.42666667,12.27693333,0,25.84886667,0,0,18.12313333,18.13686667,19.09853333,10.94,6.02,0,0,0,0,1,0
2021-08-01 11:45:00+00:00,99.75,45.33,17.5938,0,0,84.355,87.4218,0,45.93,86.81666667,16.83533333,16.952,20.34866667,53.62,20.372,19.07333333,44.78,0,46.16773333,53.635,27.94,20.06,55.14,57.77506667,8.731333333,429.0656,21.7658,421.2734,22.15773333,11.67666667,9.850666667,7.056133333,13.40633333,44.29333333,11.48346667,0,25.85653333,0,0,18.01326667,18.012,19.03313333,11.06,5.98,0,13.637,0,3.75,1,0
2021-08-01 12:00:00+00:00,99.75,45.33,17.7826,0,0,81.38373333,66.24966667,0,33.98553333,85.48333333,17.064,17.084,19.17266667,42.62666667,20.49,19.46933333,40.78,0,43.82033333,52.8154,27.94,20.06,53.84726667,54.77833333,7.216,428.3055333,21.7502,420.1014,22.1196,9.693333333,8.21,7.021733333,11.9518,43.88666667,9.84,0,25.706,0,0,18.32753333,18.3264,18.72,12.06,5.98,0,18.645,0,4.75,1,0
2021-08-01 12:15:00+00:00,99.75,45.27,17.866,0,0,59.54866667,0,0,0,83.58333333,17.42133333,17.40133333,9.692666667,0,20.01866667,19.24933333,0,0,45.367,52.32413333,36.13186667,49.37773333,53.63366667,59.35106667,9.59,426.5472667,21.75353333,420.5245333,22.10433333,9.716666667,9.751333333,7.006466667,11.54533333,44.34666667,11.15373333,0,25.80373333,0,0,18.5406,18.5272,18.73633333,12.06,6.02,0,0,0,0,1,0
2021-08-01 12:30:00+00:00,100.25,45.33,17.84193333,0,0,62.89306667,0,0,0,82.88333333,17.648,17.628,11.136,0,20.178,19.08466667,0,0,38.19193333,53.54006667,52.88,60.387,54.7206,62.15593333,11.02933333,427.3287333,21.78906667,418.9292667,22.11373333,11.108,11.15733333,6.984666667,12.60433333,44.16666667,12.2764,0,25.79973333,0,0,18.20526667,18.3066,18.83406667,11.94,5.98,0,0,0,0,2,0
